age,job,marital,education,y
57,blue-collar,married,basic.4y,0
48,blue-collar,married,basic.6y,0
55,technician,married,professional.course,0
38,management,married,university.degree,0
38,services,married,high.school,0
53,admin.,married,university.degree,0
43,unemployed,single,university.degree,0
36,blue-collar,single,high.school,0
32,blue-collar,married,basic.9y,0
33,services,married,basic.4y,0
58,entrepreneur,married,basic.4y,0
40,unemployed,divorced,high.school,0
57,management,married,university.degree,0
45,technician,married,high.school,0
42,blue-collar,married,basic.4y,0
46,admin.,married,university.degree,0
36,technician,married,university.degree,0
41,self-employed,married,high.school,0
57,admin.,divorced,basic.9y,0
49,blue-collar,married,basic.9y,0
56,management,divorced,high.school,0
37,blue-collar,married,basic.9y,0
37,blue-collar,married,basic.9y,0
46,admin.,single,high.school,0
22,blue-collar,single,basic.9y,0
43,services,married,high.school,0
49,blue-collar,married,unknown,0
41,technician,married,basic.6y,0
38,admin.,single,university.degree,0
33,admin.,married,basic.9y,0
49,admin.,married,university.degree,0
30,blue-collar,single,unknown,0
33,admin.,married,basic.9y,0
34,management,single,university.degree,0
30,student,single,unknown,0
59,management,married,basic.4y,0
59,management,married,basic.4y,0
41,self-employed,married,university.degree,0
48,housemaid,married,basic.6y,0
59,retired,unknown,university.degree,0
50,management,married,high.school,0
35,admin.,married,university.degree,0
42,admin.,married,high.school,0
45,admin.,married,basic.9y,0
36,technician,married,professional.course,0
56,services,married,high.school,0
29,blue-collar,divorced,basic.4y,0
41,self-employed,married,university.degree,0
42,blue-collar,married,basic.9y,0
52,services,single,high.school,0
48,services,married,high.school,0
31,blue-collar,married,high.school,0
43,unemployed,married,university.degree,0
36,blue-collar,married,basic.4y,0
42,entrepreneur,married,university.degree,0
52,services,divorced,basic.6y,0
39,admin.,married,high.school,0
36,services,married,high.school,0
42,blue-collar,married,basic.9y,0
41,admin.,married,high.school,0
55,technician,married,basic.4y,0
30,blue-collar,married,basic.9y,0
57,retired,unknown,basic.4y,0
45,entrepreneur,married,basic.4y,0
51,blue-collar,married,basic.4y,0
39,self-employed,single,basic.9y,0
47,admin.,married,high.school,0
27,services,married,high.school,0
34,technician,single,university.degree,0
57,blue-collar,married,basic.4y,0
43,entrepreneur,married,basic.4y,0
49,blue-collar,married,basic.4y,0
39,management,married,university.degree,0
38,blue-collar,married,basic.4y,0
49,blue-collar,married,basic.9y,0
58,management,married,basic.6y,0
43,technician,married,professional.course,0
50,unknown,married,unknown,0
31,services,married,high.school,0
43,self-employed,divorced,university.degree,0
43,self-employed,married,basic.9y,0
30,self-employed,single,university.degree,0
27,services,single,professional.course,0
51,services,married,unknown,0
37,technician,married,professional.course,0
46,housemaid,married,basic.9y,0
35,blue-collar,married,professional.course,0
47,admin.,divorced,university.degree,0
46,management,married,unknown,0
40,technician,married,professional.course,0
26,housemaid,married,university.degree,0
32,blue-collar,divorced,basic.9y,0
45,management,married,university.degree,0
34,admin.,married,basic.9y,0
47,blue-collar,married,unknown,0
57,technician,married,basic.4y,0
57,technician,married,basic.4y,0
38,blue-collar,married,basic.4y,0
57,technician,married,basic.4y,0
28,student,single,basic.9y,0
60,management,married,university.degree,0
48,admin.,married,university.degree,0
47,technician,married,professional.course,0
40,admin.,married,high.school,0
51,management,married,professional.course,0
48,unemployed,single,basic.4y,0
54,housemaid,married,basic.4y,0
40,blue-collar,married,basic.6y,0
44,admin.,single,basic.9y,0
42,technician,divorced,high.school,0
52,self-employed,married,university.degree,0
31,blue-collar,single,basic.9y,0
32,services,married,high.school,0
44,admin.,married,high.school,0
39,management,married,basic.6y,0
57,management,married,professional.course,0
52,admin.,married,basic.4y,0
42,technician,single,professional.course,0
43,management,married,professional.course,0
31,admin.,divorced,high.school,0
29,admin.,married,university.degree,0
57,blue-collar,divorced,basic.4y,0
44,blue-collar,married,basic.9y,0
59,unknown,married,unknown,0
39,blue-collar,married,basic.4y,0
57,retired,married,university.degree,0
41,management,married,unknown,0
37,technician,single,high.school,0
38,services,married,high.school,0
42,retired,married,basic.4y,0
49,unknown,married,unknown,0
54,management,married,basic.6y,0
36,admin.,married,university.degree,0
32,admin.,single,university.degree,0
35,technician,married,professional.course,0
45,housemaid,married,professional.course,0
56,technician,married,unknown,0
34,technician,married,university.degree,0
41,unemployed,married,basic.9y,0
41,services,married,basic.9y,0
36,blue-collar,married,basic.9y,0
32,admin.,single,university.degree,0
31,services,married,high.school,0
38,technician,married,professional.course,0
35,admin.,divorced,university.degree,0
53,admin.,married,professional.course,0
51,admin.,married,basic.6y,0
56,entrepreneur,married,university.degree,0
33,admin.,married,basic.9y,0
33,admin.,married,basic.9y,0
51,services,divorced,high.school,0
45,entrepreneur,married,university.degree,0
40,technician,single,university.degree,0
60,unknown,single,unknown,0
33,technician,married,university.degree,0
47,blue-collar,married,high.school,0
48,blue-collar,married,basic.4y,0
43,entrepreneur,married,high.school,0
37,management,married,university.degree,0
50,services,married,basic.9y,0
59,entrepreneur,married,high.school,0
32,technician,married,unknown,0
42,housemaid,single,basic.4y,0
52,blue-collar,married,basic.4y,0
42,blue-collar,married,unknown,0
42,admin.,married,unknown,0
40,management,married,basic.9y,0
38,blue-collar,married,basic.9y,0
39,blue-collar,married,basic.6y,0
39,blue-collar,married,basic.6y,0
38,admin.,married,high.school,0
47,admin.,single,unknown,0
30,services,single,high.school,0
38,admin.,divorced,high.school,0
39,technician,divorced,university.degree,0
44,admin.,married,high.school,0
36,admin.,married,high.school,0
41,services,married,high.school,0
41,blue-collar,married,basic.6y,0
35,blue-collar,married,basic.9y,0
41,technician,married,high.school,0
36,services,married,high.school,0
35,admin.,single,high.school,0
33,blue-collar,single,basic.4y,0
38,admin.,single,basic.6y,0
33,self-employed,married,university.degree,0
55,self-employed,married,unknown,0
36,blue-collar,single,basic.9y,0
57,technician,married,professional.course,0
32,entrepreneur,single,university.degree,0
30,self-employed,single,high.school,0
43,admin.,married,professional.course,0
46,admin.,married,university.degree,0
35,admin.,divorced,high.school,0
34,admin.,single,university.degree,0
50,blue-collar,married,basic.4y,0
39,admin.,single,university.degree,0
39,blue-collar,married,basic.9y,0
42,entrepreneur,married,basic.6y,0
57,retired,married,university.degree,0
45,blue-collar,married,basic.4y,0
40,technician,married,basic.4y,0
40,technician,married,basic.4y,0
38,blue-collar,single,basic.4y,0
39,blue-collar,married,basic.6y,0
41,blue-collar,married,basic.4y,0
39,blue-collar,married,basic.6y,0
41,blue-collar,married,basic.4y,0
45,admin.,married,university.degree,0
35,admin.,divorced,university.degree,0
35,admin.,married,basic.6y,0
49,blue-collar,married,high.school,0
36,technician,married,unknown,0
23,admin.,single,university.degree,0
43,unemployed,married,university.degree,0
49,entrepreneur,married,professional.course,0
36,technician,married,professional.course,0
51,blue-collar,married,basic.9y,0
56,retired,married,basic.4y,0
45,housemaid,married,high.school,0
42,admin.,married,high.school,0
41,admin.,divorced,high.school,0
32,services,married,high.school,0
46,management,married,university.degree,0
37,blue-collar,married,unknown,0
53,management,married,university.degree,0
30,blue-collar,married,basic.4y,0
45,unknown,married,unknown,0
24,technician,single,professional.course,0
45,unknown,married,unknown,0
34,admin.,single,university.degree,0
41,management,married,university.degree,0
59,blue-collar,married,basic.4y,0
45,blue-collar,married,basic.4y,0
54,blue-collar,married,basic.6y,0
32,technician,married,professional.course,0
33,technician,married,professional.course,0
32,admin.,married,university.degree,0
34,services,single,high.school,0
46,management,married,university.degree,0
57,technician,married,professional.course,0
42,technician,married,basic.9y,0
48,admin.,married,professional.course,0
58,admin.,divorced,university.degree,0
34,services,married,high.school,0
32,admin.,single,university.degree,0
48,blue-collar,married,basic.9y,0
47,blue-collar,married,basic.9y,0
31,services,married,high.school,0
32,admin.,single,university.degree,0
32,admin.,single,university.degree,0
36,services,married,high.school,0
53,blue-collar,married,basic.4y,0
37,blue-collar,married,basic.9y,0
50,services,married,high.school,0
46,blue-collar,married,basic.6y,0
41,admin.,married,high.school,0
43,blue-collar,single,basic.4y,0
51,management,married,university.degree,0
38,admin.,married,university.degree,0
41,technician,married,basic.6y,0
39,services,married,high.school,0
52,blue-collar,married,basic.4y,0
37,technician,married,professional.course,0
41,admin.,married,basic.9y,0
46,admin.,divorced,university.degree,0
47,technician,married,professional.course,0
35,technician,married,professional.course,0
38,services,married,high.school,0
30,blue-collar,single,unknown,0
46,blue-collar,married,basic.9y,0
30,technician,married,professional.course,0
35,services,single,basic.4y,0
58,admin.,married,unknown,0
40,technician,married,professional.course,0
34,technician,married,university.degree,0
30,admin.,single,university.degree,0
38,services,married,basic.6y,0
55,management,single,basic.4y,0
55,management,married,university.degree,0
45,technician,single,professional.course,0
36,admin.,married,university.degree,0
32,admin.,single,university.degree,0
35,technician,married,unknown,0
55,management,divorced,university.degree,0
49,housemaid,married,basic.4y,0
29,admin.,married,high.school,0
34,blue-collar,married,basic.4y,0
54,retired,married,high.school,0
36,technician,single,professional.course,0
30,management,single,university.degree,0
33,housemaid,divorced,university.degree,0
37,blue-collar,married,high.school,0
36,technician,married,basic.9y,0
33,blue-collar,married,high.school,0
32,housemaid,married,high.school,0
32,housemaid,married,high.school,0
50,blue-collar,married,basic.4y,0
39,blue-collar,married,basic.9y,0
51,blue-collar,divorced,unknown,0
33,services,married,high.school,0
33,services,married,basic.4y,0
56,management,married,university.degree,0
39,management,divorced,university.degree,0
33,self-employed,single,university.degree,0
59,retired,divorced,basic.4y,0
42,admin.,single,unknown,0
43,services,married,high.school,0
35,admin.,married,university.degree,0
46,blue-collar,married,basic.6y,0
27,technician,married,basic.9y,0
47,admin.,divorced,university.degree,0
31,admin.,single,university.degree,0
32,blue-collar,married,basic.9y,0
54,admin.,married,high.school,0
56,management,married,university.degree,0
48,services,single,high.school,0
44,admin.,married,high.school,0
46,admin.,married,high.school,0
45,services,married,high.school,0
43,admin.,married,professional.course,0
40,admin.,single,high.school,0
56,management,married,university.degree,0
47,entrepreneur,married,professional.course,0
39,management,divorced,university.degree,0
48,technician,married,basic.4y,0
36,self-employed,married,university.degree,0
49,management,married,professional.course,0
46,services,married,high.school,0
38,blue-collar,married,basic.9y,0
50,housemaid,married,basic.4y,0
27,admin.,single,high.school,0
40,technician,married,professional.course,0
46,management,married,university.degree,0
40,admin.,divorced,university.degree,0
33,management,single,university.degree,0
54,retired,married,high.school,0
52,blue-collar,married,basic.4y,0
53,admin.,married,university.degree,0
49,services,married,high.school,0
42,blue-collar,married,basic.4y,0
49,housemaid,married,basic.4y,0
40,entrepreneur,married,basic.9y,0
59,admin.,married,university.degree,0
51,self-employed,married,basic.9y,0
57,housemaid,married,basic.6y,0
38,self-employed,divorced,basic.9y,0
52,self-employed,married,university.degree,0
26,unemployed,single,basic.9y,0
35,admin.,married,university.degree,0
51,admin.,married,university.degree,0
43,blue-collar,married,basic.4y,0
42,admin.,married,high.school,0
60,retired,divorced,university.degree,0
36,blue-collar,married,basic.9y,0
57,management,married,university.degree,0
35,student,single,university.degree,0
30,admin.,married,university.degree,0
43,services,married,high.school,0
40,technician,married,basic.9y,0
45,technician,married,university.degree,0
56,retired,married,high.school,0
46,services,married,basic.6y,0
41,blue-collar,married,basic.4y,0
42,admin.,married,university.degree,0
56,blue-collar,married,basic.4y,0
43,entrepreneur,married,basic.4y,0
34,blue-collar,married,basic.4y,0
38,services,married,high.school,0
40,technician,married,basic.9y,0
38,admin.,married,high.school,0
48,entrepreneur,married,university.degree,0
27,blue-collar,married,basic.9y,0
24,technician,single,professional.course,0
47,admin.,single,unknown,0
48,blue-collar,married,professional.course,0
31,admin.,single,high.school,0
39,self-employed,single,basic.4y,0
41,technician,single,university.degree,0
49,blue-collar,married,basic.4y,0
56,retired,married,basic.4y,0
49,admin.,married,high.school,0
47,unemployed,divorced,university.degree,0
44,blue-collar,married,unknown,0
48,admin.,divorced,high.school,0
55,housemaid,married,basic.4y,0
59,management,married,basic.4y,0
44,technician,single,professional.course,0
46,blue-collar,married,basic.9y,0
39,blue-collar,divorced,basic.6y,0
38,unemployed,married,basic.4y,0
36,services,married,high.school,0
29,admin.,single,university.degree,0
31,technician,single,professional.course,0
30,services,divorced,basic.9y,0
36,blue-collar,married,basic.4y,0
60,blue-collar,married,professional.course,0
36,admin.,married,university.degree,0
32,services,married,high.school,0
39,blue-collar,married,basic.9y,0
30,services,married,university.degree,0
39,blue-collar,married,basic.4y,0
37,blue-collar,married,basic.9y,0
39,blue-collar,married,professional.course,0
46,blue-collar,married,basic.4y,0
43,unemployed,married,basic.4y,0
37,services,married,high.school,0
30,technician,married,university.degree,0
38,technician,married,professional.course,0
31,technician,married,university.degree,0
44,admin.,married,university.degree,0
44,self-employed,married,university.degree,0
38,technician,married,unknown,0
30,student,single,high.school,0
37,blue-collar,married,basic.4y,0
54,housemaid,divorced,unknown,0
41,management,married,unknown,0
43,technician,married,professional.course,0
38,housemaid,married,basic.9y,0
41,blue-collar,married,basic.4y,0
38,blue-collar,single,unknown,0
33,blue-collar,married,basic.9y,0
32,admin.,married,high.school,0
30,services,married,high.school,0
43,technician,married,basic.6y,0
30,services,married,high.school,0
36,technician,divorced,professional.course,0
38,blue-collar,married,basic.6y,0
35,blue-collar,single,basic.6y,0
50,self-employed,married,university.degree,0
38,blue-collar,married,basic.9y,0
58,admin.,married,basic.4y,0
50,technician,married,professional.course,0
33,blue-collar,single,basic.9y,0
33,blue-collar,single,basic.9y,0
44,management,single,university.degree,0
31,management,married,high.school,0
40,entrepreneur,married,basic.9y,0
28,unknown,single,basic.9y,0
36,services,single,unknown,0
44,blue-collar,single,high.school,0
38,blue-collar,divorced,unknown,0
33,blue-collar,married,basic.9y,0
39,blue-collar,divorced,basic.6y,0
47,blue-collar,single,basic.4y,0
47,services,divorced,high.school,0
35,entrepreneur,single,professional.course,0
42,admin.,divorced,university.degree,0
36,admin.,married,high.school,0
35,technician,married,basic.6y,0
36,services,single,unknown,0
56,entrepreneur,married,university.degree,0
26,admin.,single,high.school,0
31,admin.,single,university.degree,0
57,self-employed,single,high.school,0
39,services,married,high.school,0
43,blue-collar,married,high.school,0
50,admin.,married,university.degree,0
52,blue-collar,single,high.school,0
39,blue-collar,divorced,basic.9y,0
44,technician,single,unknown,0
36,housemaid,married,basic.4y,0
54,management,married,high.school,0
27,admin.,single,basic.9y,0
31,admin.,married,university.degree,0
28,blue-collar,married,basic.6y,0
31,management,single,university.degree,0
30,management,divorced,high.school,0
52,technician,married,professional.course,0
37,technician,divorced,professional.course,0
30,services,married,university.degree,0
45,blue-collar,married,basic.9y,0
54,technician,married,university.degree,0
49,entrepreneur,married,basic.9y,0
44,admin.,married,high.school,0
53,technician,married,high.school,0
45,blue-collar,married,basic.9y,0
45,blue-collar,married,basic.9y,0
51,admin.,married,high.school,0
41,blue-collar,married,basic.9y,0
43,technician,married,professional.course,0
31,admin.,single,university.degree,0
39,admin.,single,unknown,0
38,technician,married,professional.course,0
50,entrepreneur,married,basic.9y,0
53,admin.,single,university.degree,0
44,admin.,divorced,high.school,0
53,blue-collar,married,basic.9y,0
24,services,single,high.school,0
34,admin.,single,high.school,0
40,technician,married,professional.course,0
57,management,divorced,university.degree,0
43,blue-collar,married,basic.4y,0
31,blue-collar,married,basic.6y,0
31,services,married,basic.6y,0
31,blue-collar,married,basic.6y,0
45,housemaid,married,basic.4y,0
38,admin.,married,university.degree,0
47,blue-collar,married,professional.course,0
42,blue-collar,married,basic.6y,0
35,blue-collar,single,unknown,0
40,management,married,university.degree,0
42,blue-collar,married,basic.6y,0
34,technician,married,professional.course,0
48,admin.,single,university.degree,0
35,blue-collar,married,unknown,0
33,blue-collar,married,high.school,0
37,technician,married,professional.course,0
43,technician,married,professional.course,0
42,admin.,single,unknown,0
46,admin.,divorced,university.degree,0
40,blue-collar,married,high.school,0
40,blue-collar,married,high.school,0
59,entrepreneur,divorced,high.school,0
43,technician,single,university.degree,0
44,blue-collar,married,basic.6y,0
41,admin.,married,university.degree,0
28,unknown,single,basic.9y,0
48,services,married,high.school,0
31,admin.,single,high.school,0
27,blue-collar,married,basic.9y,0
43,technician,single,university.degree,0
47,retired,married,basic.4y,0
40,blue-collar,divorced,unknown,0
43,unknown,married,high.school,0
29,technician,married,professional.course,0
54,admin.,married,university.degree,0
36,technician,married,professional.course,0
30,admin.,single,university.degree,0
38,services,single,unknown,0
39,blue-collar,married,basic.6y,0
33,blue-collar,married,basic.9y,0
39,retired,single,high.school,0
38,technician,single,professional.course,0
44,admin.,married,high.school,0
33,blue-collar,married,basic.9y,0
37,blue-collar,married,basic.6y,0
32,management,married,basic.6y,0
46,technician,married,professional.course,0
34,technician,divorced,professional.course,0
52,technician,married,basic.4y,0
46,blue-collar,married,basic.6y,0
57,management,divorced,university.degree,0
52,technician,married,basic.4y,0
32,technician,single,professional.course,0
31,blue-collar,single,basic.9y,0
46,admin.,divorced,basic.9y,0
59,services,divorced,high.school,0
38,blue-collar,married,unknown,0
42,blue-collar,divorced,basic.6y,0
40,blue-collar,married,basic.4y,0
46,admin.,married,professional.course,0
35,admin.,single,high.school,0
28,blue-collar,married,basic.9y,0
47,services,married,high.school,0
35,blue-collar,married,basic.4y,0
48,retired,married,basic.9y,0
40,blue-collar,married,basic.6y,0
32,services,single,high.school,0
59,retired,divorced,basic.4y,0
48,entrepreneur,married,basic.9y,0
45,blue-collar,married,basic.9y,0
49,blue-collar,single,basic.6y,0
51,admin.,married,university.degree,0
38,technician,single,university.degree,0
53,technician,married,high.school,0
49,blue-collar,married,basic.9y,0
31,blue-collar,married,basic.9y,0
