age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
14;35.0;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;146.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
15;54.0;retired;married;basic.9y;unknown;yes;yes;telephone;may;mon;174.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
16;35.0;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;312.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
17;46.0;blue-collar;married;basic.6y;unknown;yes;yes;telephone;may;mon;440.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
18;50.0;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;353.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
19;39.0;management;single;basic.9y;unknown;no;no;telephone;may;mon;195.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
20;30.0;unemployed;married;high.school;no;no;no;telephone;may;mon;38.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
21;55.0;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;262.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
22;55.0;retired;single;high.school;no;yes;no;telephone;may;mon;342.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
23;41.0;technician;single;high.school;no;yes;no;telephone;may;mon;181.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
24;37.0;admin.;married;high.school;no;yes;no;telephone;may;mon;172.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
25;35.0;technician;married;university.degree;no;no;yes;telephone;may;mon;99.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
26;59.0;technician;married;unknown;no;yes;no;telephone;may;mon;93.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
27;39.0;self-employed;married;basic.9y;unknown;no;no;telephone;may;mon;233.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
28;54.0;technician;single;university.degree;unknown;no;no;telephone;may;mon;255.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
29;55.0;unknown;married;university.degree;unknown;unknown;unknown;telephone;may;mon;362.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
30;46.0;admin.;married;unknown;no;no;no;telephone;may;mon;348.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
31;59.0;technician;married;unknown;no;yes;no;telephone;may;mon;386.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
32;49.0;blue-collar;married;unknown;no;no;no;telephone;may;mon;73.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
33;54.0;management;married;basic.4y;unknown;yes;no;telephone;may;mon;230.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
34;54.0;blue-collar;divorced;basic.4y;no;no;no;telephone;may;mon;208.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
35;55.0;unknown;married;basic.4y;unknown;yes;no;telephone;may;mon;336.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
36;34.0;services;married;high.school;no;no;no;telephone;may;mon;365.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
37;52.0;technician;married;basic.9y;no;yes;no;telephone;may;mon;1666.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
38;41.0;admin.;married;university.degree;no;yes;no;telephone;may;mon;577.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
39;56.0;technician;married;basic.4y;no;yes;no;telephone;may;mon;137.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
40;58.0;management;unknown;university.degree;no;yes;no;telephone;may;mon;366.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
41;32.0;entrepreneur;married;high.school;no;yes;no;telephone;may;mon;314.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
42;38.0;admin.;single;professional.course;no;no;no;telephone;may;mon;160.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
43;57.0;admin.;married;university.degree;no;no;yes;telephone;may;mon;212.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
44;44.0;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;188.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
45;42.0;technician;single;professional.course;unknown;no;no;telephone;may;mon;22.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
46;57.0;admin.;married;university.degree;no;yes;yes;telephone;may;mon;616.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
47;40.0;blue-collar;married;basic.9y;no;no;yes;telephone;may;mon;178.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
48;35.0;admin.;married;university.degree;no;yes;no;telephone;may;mon;355.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
49;45.0;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;225.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
50;54.0;admin.;married;high.school;no;no;no;telephone;may;mon;160.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
51;39.0;housemaid;married;basic.4y;no;no;yes;telephone;may;mon;266.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
52;60.0;admin.;married;high.school;no;no;no;telephone;may;mon;253.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
53;53.0;admin.;single;professional.course;no;no;no;telephone;may;mon;179.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
54;55.0;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;269.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
55;55.0;technician;married;professional.course;unknown;yes;no;telephone;may;mon;135.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
56;50.0;management;married;university.degree;unknown;no;yes;telephone;may;mon;161.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
57;45.0;services;married;high.school;unknown;yes;no;telephone;may;mon;787.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
58;55.0;unemployed;married;professional.course;unknown;yes;yes;telephone;may;mon;145.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
59;25.0;technician;single;university.degree;no;yes;no;telephone;may;mon;174.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
60;47.0;entrepreneur;married;university.degree;unknown;no;no;telephone;may;mon;449.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
61;51.0;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;812.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
62;42.0;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;164.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
63;42.0;blue-collar;married;basic.6y;unknown;no;no;telephone;may;mon;366.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
64;48.0;admin.;married;high.school;no;no;no;telephone;may;mon;357.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
65;37.0;admin.;married;university.degree;no;no;no;telephone;may;mon;232.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
66;44.0;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;91.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
67;33.0;admin.;married;unknown;no;yes;no;telephone;may;mon;273.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
68;56.0;admin.;married;basic.9y;no;yes;no;telephone;may;mon;158.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
69;44.0;blue-collar;single;basic.4y;unknown;yes;yes;telephone;may;mon;177.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
70;41.0;management;married;basic.6y;no;no;no;telephone;may;mon;200.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
71;44.0;management;divorced;university.degree;no;yes;no;telephone;may;mon;172.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
72;47.0;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;176.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
73;57.0;unknown;married;unknown;unknown;no;no;telephone;may;mon;211.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
74;37.0;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;214.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
76;55.0;technician;married;university.degree;no;no;no;telephone;may;mon;349.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
77;33.0;services;married;high.school;unknown;yes;no;telephone;may;mon;337.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
78;55.0;management;married;unknown;unknown;yes;no;telephone;may;mon;272.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
79;42.0;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;208.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
80;50.0;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;193.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
81;51.0;blue-collar;married;basic.4y;unknown;unknown;unknown;telephone;may;mon;212.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
82;38.0;admin.;married;high.school;unknown;no;no;telephone;may;mon;165.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
84;38.0;technician;single;university.degree;no;no;yes;telephone;may;mon;20.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
85;31.0;admin.;divorced;high.school;no;no;no;telephone;may;mon;246.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
86;41.0;management;married;basic.6y;no;no;no;telephone;may;mon;529.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
87;39.0;admin.;married;university.degree;no;yes;yes;telephone;may;mon;192.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
89;34.0;admin.;married;high.school;no;yes;no;telephone;may;mon;188.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
90;35.0;admin.;married;university.degree;no;yes;no;telephone;may;mon;180.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
91;57.0;unknown;married;unknown;unknown;yes;no;telephone;may;mon;48.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
92;60.0;admin.;married;unknown;unknown;no;yes;telephone;may;mon;213.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
93;33.0;unemployed;married;basic.9y;no;no;no;telephone;may;mon;545.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
94;42.0;blue-collar;married;basic.6y;no;no;yes;telephone;may;mon;583.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
95;45.0;services;married;professional.course;no;yes;no;telephone;may;mon;221.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
96;42.0;management;married;university.degree;no;no;no;telephone;may;mon;426.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
97;53.0;admin.;divorced;university.degree;unknown;no;no;telephone;may;mon;287.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
98;37.0;technician;single;professional.course;no;no;no;telephone;may;mon;197.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
99;44.0;blue-collar;married;basic.6y;no;no;no;telephone;may;mon;257.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
100;54.0;services;married;unknown;no;yes;no;telephone;may;mon;229.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
101;49.0;blue-collar;married;basic.4y;no;no;no;telephone;may;mon;55.0;3.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
102;54.0;services;married;unknown;no;no;no;telephone;may;mon;400.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
103;52.0;admin.;divorced;university.degree;no;no;no;telephone;may;mon;197.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
104;52.0;admin.;divorced;university.degree;no;no;no;telephone;may;mon;190.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
105;43.0;services;single;high.school;unknown;no;no;telephone;may;mon;21.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
106;34.0;housemaid;married;basic.6y;no;yes;no;telephone;may;mon;300.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
107;35.0;admin.;married;high.school;no;yes;no;telephone;may;mon;123.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
108;42.0;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;293.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
109;43.0;technician;married;unknown;unknown;yes;yes;telephone;may;mon;325.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
110;60.0;retired;divorced;university.degree;unknown;no;no;telephone;may;mon;514.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
111;58.0;unemployed;married;basic.4y;unknown;no;no;telephone;may;mon;849.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
112;35.0;services;divorced;high.school;no;yes;no;telephone;may;mon;194.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
113;55.0;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;mon;212.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
114;37.0;management;married;university.degree;no;no;no;telephone;may;mon;337.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
115;36.0;blue-collar;married;high.school;no;no;no;telephone;may;mon;286.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
116;52.0;admin.;divorced;university.degree;no;no;no;telephone;may;mon;247.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
117;57.0;blue-collar;divorced;unknown;unknown;yes;no;telephone;may;mon;518.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
118;56.0;admin.;married;unknown;no;yes;no;telephone;may;mon;364.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
119;48.0;blue-collar;divorced;basic.4y;unknown;yes;no;telephone;may;mon;178.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
120;40.0;blue-collar;married;high.school;unknown;yes;no;telephone;may;mon;98.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
121;49.0;blue-collar;divorced;high.school;no;no;no;telephone;may;mon;439.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
122;41.0;services;married;high.school;no;no;no;telephone;may;mon;139.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
123;45.0;technician;married;high.school;no;yes;no;telephone;may;mon;79.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
124;32.0;admin.;married;university.degree;no;yes;yes;telephone;may;mon;175.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
125;42.0;admin.;married;university.degree;no;no;yes;telephone;may;mon;262.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
126;50.0;admin.;married;basic.6y;no;no;no;telephone;may;mon;61.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
127;31.0;technician;divorced;professional.course;no;yes;yes;telephone;may;mon;78.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
128;56.0;retired;married;basic.4y;no;yes;no;telephone;may;mon;102.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
130;37.0;blue-collar;married;basic.6y;no;yes;yes;telephone;may;mon;143.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
131;41.0;technician;married;professional.course;unknown;no;no;telephone;may;mon;677.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
132;35.0;blue-collar;married;unknown;no;yes;no;telephone;may;mon;267.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
133;37.0;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;345.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
134;52.0;management;married;university.degree;no;no;no;telephone;may;mon;185.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
135;39.0;management;divorced;university.degree;no;no;no;telephone;may;mon;207.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
136;39.0;housemaid;married;basic.4y;unknown;no;no;telephone;may;mon;69.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
137;56.0;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;100.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
138;34.0;services;married;high.school;no;yes;no;telephone;may;mon;125.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
140;43.0;unemployed;single;university.degree;no;yes;no;telephone;may;mon;240.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
141;56.0;management;married;unknown;no;yes;no;telephone;may;mon;70.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
142;39.0;management;married;university.degree;no;yes;no;telephone;may;mon;193.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
143;53.0;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;136.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
144;38.0;unknown;divorced;high.school;unknown;yes;no;telephone;may;mon;73.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
145;42.0;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;528.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
146;42.0;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;541.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
147;35.0;admin.;single;high.school;no;yes;no;telephone;may;mon;338.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
148;40.0;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;163.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
149;51.0;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;87.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
150;60.0;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;301.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
151;56.0;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;46.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
152;39.0;services;divorced;high.school;unknown;yes;no;telephone;may;mon;52.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
153;56.0;entrepreneur;married;unknown;unknown;no;no;telephone;may;mon;204.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
154;40.0;blue-collar;married;unknown;no;yes;yes;telephone;may;mon;155.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
155;36.0;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;98.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
156;51.0;blue-collar;married;unknown;unknown;yes;no;telephone;may;mon;71.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
157;51.0;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;243.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
158;43.0;technician;single;professional.course;no;yes;no;telephone;may;mon;186.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
159;59.0;services;married;high.school;no;no;no;telephone;may;mon;579.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
160;24.0;management;single;university.degree;no;yes;no;telephone;may;mon;165.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
161;37.0;blue-collar;single;basic.9y;unknown;yes;yes;telephone;may;mon;163.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
162;40.0;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;46.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
163;42.0;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;559.0;3.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
164;39.0;services;divorced;high.school;unknown;no;no;telephone;may;mon;2033.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
165;37.0;entrepreneur;married;basic.6y;no;no;no;telephone;may;mon;85.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
166;38.0;services;married;high.school;no;yes;yes;telephone;may;mon;506.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
167;56.0;admin.;divorced;unknown;unknown;no;no;telephone;may;mon;114.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
168;40.0;blue-collar;married;unknown;no;no;no;telephone;may;mon;114.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
169;54.0;management;divorced;university.degree;no;yes;no;telephone;may;mon;843.0;2.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
170;43.0;blue-collar;married;high.school;unknown;no;yes;telephone;may;mon;181.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
171;36.0;services;married;high.school;unknown;no;no;telephone;may;mon;427.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
172;45.0;technician;married;university.degree;no;yes;yes;telephone;may;mon;292.0;1.0;999.0;0.0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;0.0
